Spannungsmessung
 Strom          U1          U2          U3
64.50A       0.65V      33.81V      34.12V
64.60A       0.63V      37.03V      39.21V
64.70A       0.58V      35.97V      39.17V
64.80A       0.57V      42.16V      40.15V
64.90A       0.52V      41.21V      45.05V
65.00A       0.48V      44.45V      45.39V
65.10A       0.43V      43.79V      51.03V
65.20A       0.42V      50.97V      54.61V
65.30A       0.36V      48.17V      49.97V
65.40A       0.31V      47.15V      51.07V
65.50A       0.24V      53.00V      52.72V
65.60A       0.20V      50.39V      57.05V
65.70A       0.16V      59.23V      63.01V
65.80A       0.10V      60.01V      61.79V
65.90A       0.04V      62.01V      65.74V
66.00A      -0.01V      64.43V      58.00V
66.10A      -0.07V      67.57V      67.72V
66.20A      -0.12V      70.45V      65.74V
66.30A      -0.17V      60.76V      66.19V
66.40A      -0.20V      70.12V      71.29V
66.50A      -0.25V      78.15V      69.72V
66.60A      -0.30V      78.75V      73.95V
66.70A      -0.33V      75.92V      73.11V
66.80A      -0.39V      74.89V      70.22V
66.90A      -0.41V      79.10V      76.92V
67.00A      -0.42V      77.14V      77.60V
67.10A      -0.47V      84.86V      79.57V
67.20A      -0.47V      87.96V      77.33V
67.30A      -0.46V      87.39V      80.25V
67.40A      -0.45V      92.69V      83.86V
67.50A      -0.46V      96.89V      83.93V
67.60A      -0.49V      90.64V      80.00V
67.70A      -0.46V      87.30V      82.00V
67.80A      -0.43V     103.13V      81.62V
67.90A      -0.44V     101.69V      78.17V
68.00A      -0.40V     109.55V      91.36V
68.10A      -0.40V     106.62V      91.52V
68.20A      -0.33V     103.52V      91.03V
68.30A      -0.33V     110.65V      88.35V
68.40A      -0.26V     105.01V      80.11V
68.50A      -0.25V     111.90V      94.65V
68.60A      -0.21V     111.16V      83.71V
68.70A      -0.16V     109.94V      96.17V
68.80A      -0.11V     125.42V      96.87V
68.90A      -0.08V     111.05V      87.21V
69.00A      -0.05V     112.57V      96.80V
69.10A      -0.01V      97.97V      94.96V
69.20A       0.03V     113.38V      98.51V
69.30A       0.08V     127.73V     100.84V
69.40A       0.12V     123.10V      98.90V
69.50A       0.15V     121.42V      90.50V
69.60A       0.17V     128.18V      95.07V
69.70A       0.23V     131.38V     104.17V
69.80A       0.24V     116.45V     106.50V
69.90A       0.25V     119.00V      94.90V
70.00A       0.27V     124.72V     102.92V
70.10A       0.30V     149.77V     104.15V
70.20A       0.32V     137.64V      97.30V
70.30A       0.34V     135.67V      97.35V
70.40A       0.36V     135.89V      99.78V
70.50A       0.33V     137.27V      93.51V
70.60A       0.37V     146.46V      96.40V
70.70A       0.34V     130.36V      99.22V
70.80A       0.33V     127.56V     100.72V
70.90A       0.36V     137.46V     103.94V
71.00A       0.32V     157.88V      96.40V
71.10A       0.32V     128.50V      98.67V
71.20A       0.30V     144.54V      92.73V
71.30A       0.28V     146.19V      94.18V
71.40A       0.24V     149.56V      94.45V
71.50A       0.22V     147.53V      90.39V
71.60A       0.19V     140.41V      96.63V
71.70A       0.17V     171.49V      88.28V
71.80A       0.13V     165.62V      92.95V
71.90A       0.10V     159.23V      92.55V
72.00A       0.07V     151.13V      90.43V
72.10A       0.05V     150.15V      91.37V
72.20A       0.02V     152.41V      89.99V
72.30A      -0.01V     161.39V      88.07V
72.40A      -0.04V     163.88V      82.90V
72.50A      -0.07V     148.93V      97.51V
72.60A      -0.10V     148.04V      90.08V
72.70A      -0.12V     153.17V      84.95V
72.80A      -0.14V     168.71V      82.76V
72.90A      -0.17V     164.85V      87.61V
73.00A      -0.17V     171.93V      81.18V
73.10A      -0.19V     171.72V      80.01V
73.20A      -0.23V     159.41V      82.23V
73.30A      -0.22V     176.66V      86.38V
73.40A      -0.23V     175.88V      77.34V
73.50A      -0.24V     165.26V      72.98V
73.60A      -0.24V     174.97V      78.96V
73.70A      -0.26V     178.35V      76.54V
73.80A      -0.23V     185.11V      72.81V
73.90A      -0.24V     170.26V      69.06V
74.00A      -0.23V     162.01V      72.62V
74.10A      -0.25V     182.42V      71.11V
74.20A      -0.22V     158.35V      63.73V
74.30A      -0.20V     188.33V      71.75V
74.40A      -0.20V     173.42V      69.50V
74.50A      -0.20V     164.27V      64.01V
74.60A      -0.17V     174.54V      65.21V
74.70A      -0.14V     175.48V      64.74V
74.80A      -0.13V     185.06V      63.07V
74.90A      -0.11V     152.58V      59.48V
75.00A      -0.10V     180.03V      63.05V
75.10A      -0.06V     174.00V      58.65V
75.20A      -0.04V     161.82V      57.34V
75.30A      -0.02V     174.70V      55.52V
75.40A       0.00V     184.34V      51.54V
75.50A       0.02V     198.90V      52.15V
75.60A       0.04V     178.95V      47.79V
75.70A       0.06V     165.73V      45.42V
75.80A       0.08V     166.51V      44.16V
75.90A       0.10V     177.93V      40.22V
76.00A       0.11V     161.33V      44.01V
76.10A       0.12V     174.69V      39.43V
76.20A       0.13V     180.84V      38.81V
76.30A       0.15V     159.59V      35.44V
76.40A       0.16V     167.65V      34.19V
76.50A       0.17V     183.98V      34.64V
76.60A       0.18V     181.68V      34.74V
76.70A       0.19V     205.02V      28.21V
76.80A       0.21V     178.19V      29.75V
76.90A       0.18V     180.06V      27.06V
77.00A       0.17V     176.73V      25.67V
77.10A       0.17V     194.27V      24.91V
77.20A       0.18V     178.92V      21.92V
77.30A       0.16V     169.88V      21.27V
77.40A       0.17V     181.27V      20.28V
77.50A       0.15V     190.45V      18.16V
77.60A       0.14V     187.86V      15.41V
77.70A       0.12V     188.79V      15.36V
77.80A       0.11V     189.85V      12.36V
77.90A       0.10V     176.84V      11.06V
78.00A       0.09V     174.34V       8.99V
78.10A       0.07V     187.27V       7.06V
78.20A       0.05V     181.40V       5.90V
78.30A       0.04V     185.91V       3.80V
78.40A       0.02V     181.17V       2.39V
78.50A       0.01V     180.57V       0.66V
78.60A      -0.01V     186.00V      -0.98V
78.70A      -0.02V     165.45V      -2.72V
78.80A      -0.04V     172.89V      -4.30V
78.90A      -0.05V     177.92V      -6.03V
79.00A      -0.07V     185.55V      -8.38V
79.10A      -0.08V     182.38V      -9.25V
79.20A      -0.09V     176.08V     -10.92V
79.30A      -0.10V     177.50V     -12.48V
79.40A      -0.10V     188.46V     -13.49V
79.50A      -0.12V     181.62V     -14.64V
79.60A      -0.12V     167.92V     -17.40V
79.70A      -0.12V     168.02V     -19.92V
79.80A      -0.12V     184.86V     -20.43V
79.90A      -0.14V     183.85V     -21.97V
80.00A      -0.13V     183.75V     -21.40V
80.10A      -0.14V     172.19V     -26.28V
80.20A      -0.13V     181.49V     -26.23V
80.30A      -0.13V     186.13V     -24.53V
80.40A      -0.12V     164.40V     -29.55V
80.50A      -0.12V     170.79V     -34.16V
80.60A      -0.11V     172.63V     -33.51V
80.70A      -0.10V     175.98V     -32.36V
80.80A      -0.10V     156.56V     -35.60V
80.90A      -0.08V     178.70V     -37.99V
81.00A      -0.08V     176.48V     -36.46V
81.10A      -0.07V     180.94V     -37.21V
81.20A      -0.06V     161.67V     -38.95V
81.30A      -0.04V     172.44V     -43.97V
81.40A      -0.03V     171.19V     -42.38V
81.50A      -0.02V     161.30V     -46.40V
81.60A      -0.01V     161.60V     -43.72V
81.70A       0.00V     170.48V     -47.12V
81.80A       0.01V     161.95V     -44.82V
81.90A       0.03V     164.96V     -49.80V
82.00A       0.04V     163.35V     -49.36V
82.10A       0.04V     168.00V     -53.48V
82.20A       0.06V     173.07V     -57.02V
82.30A       0.06V     168.23V     -56.80V
82.40A       0.07V     158.94V     -50.38V
82.50A       0.07V     144.46V     -54.52V
82.60A       0.08V     173.56V     -54.68V
82.70A       0.09V     172.73V     -57.34V
82.80A       0.09V     168.50V     -59.50V
82.90A       0.09V     150.95V     -48.39V
83.00A       0.10V     150.45V     -59.32V
83.10A       0.09V     157.58V     -62.14V
83.20A       0.10V     144.84V     -62.80V
83.30A       0.10V     142.88V     -57.34V
83.40A       0.09V     150.20V     -60.17V
83.50A       0.10V     159.95V     -63.37V
83.60A       0.09V     143.74V     -60.45V
83.70A       0.09V     144.45V     -63.30V
83.80A       0.08V     135.91V     -67.81V
83.90A       0.07V     141.36V     -64.02V
84.00A       0.06V     151.17V     -72.14V
84.10A       0.06V     165.08V     -66.19V
84.20A       0.05V     148.78V     -66.30V
84.30A       0.04V     147.71V     -65.24V
84.40A       0.04V     136.41V     -71.66V
84.50A       0.03V     137.75V     -60.72V
84.60A       0.02V     138.63V     -64.29V
84.70A       0.01V     137.98V     -63.48V
84.80A       0.00V     123.45V     -66.45V
84.90A      -0.01V     139.95V     -67.68V
85.00A      -0.01V     150.93V     -65.82V
85.10A      -0.02V     137.82V     -68.70V
85.20A      -0.03V     129.75V     -72.43V
85.30A      -0.03V     136.63V     -75.79V
85.40A      -0.04V     133.22V     -69.42V
85.50A      -0.05V     125.66V     -61.76V
85.60A      -0.05V     119.43V     -76.65V
85.70A      -0.06V     126.89V     -75.91V
85.80A      -0.05V     130.06V     -74.94V
85.90A      -0.06V     125.20V     -72.31V
86.00A      -0.07V     133.30V     -63.18V
86.10A      -0.07V     124.00V     -67.32V
86.20A      -0.08V     128.71V     -69.22V
86.30A      -0.07V     123.50V     -78.48V
86.40A      -0.07V     103.81V     -69.71V
86.50A      -0.06V     129.85V     -68.44V
86.60A      -0.07V     107.68V     -72.96V
86.70A      -0.07V     110.21V     -65.66V
86.80A      -0.06V     114.82V     -72.12V
86.90A      -0.06V     106.34V     -67.23V
87.00A      -0.06V     103.75V     -70.44V
87.10A      -0.05V     110.06V     -65.11V
87.20A      -0.04V     114.27V     -61.13V
87.30A      -0.04V     109.31V     -69.70V
87.40A      -0.03V     106.68V     -67.86V
87.50A      -0.03V     106.80V     -65.55V
87.60A      -0.02V     105.09V     -63.35V
87.70A      -0.02V      99.30V     -68.27V
87.80A      -0.01V     103.09V     -65.61V
87.90A      -0.00V     102.15V     -60.24V
88.00A       0.00V     101.57V     -62.97V
88.10A       0.01V     101.46V     -60.18V
88.20A       0.01V      98.00V     -60.32V
88.30A       0.02V      89.36V     -59.36V
88.40A       0.02V      97.25V     -65.55V
88.50A       0.03V      85.25V     -59.97V
88.60A       0.03V      85.44V     -55.30V
88.70A       0.04V      95.26V     -59.34V
88.80A       0.04V      87.85V     -57.53V
88.90A       0.04V      79.14V     -61.25V
89.00A       0.04V      81.53V     -58.42V
89.10A       0.05V      84.75V     -55.42V
89.20A       0.05V      85.90V     -62.92V
89.30A       0.05V      75.93V     -54.71V
89.40A       0.05V      77.85V     -55.36V
89.50A       0.05V      71.73V     -59.78V
89.60A       0.05V      68.95V     -51.93V
89.70A       0.05V      71.93V     -49.12V
89.80A       0.05V      68.44V     -51.79V
89.90A       0.05V      71.78V     -48.92V
90.00A       0.04V      68.60V     -50.94V
90.10A       0.04V      62.73V     -49.49V
90.20A       0.04V      61.69V     -48.68V
90.30A       0.03V      60.28V     -44.33V
90.40A       0.03V      60.12V     -43.38V
90.50A       0.03V      59.71V     -45.60V
90.60A       0.02V      55.94V     -41.60V
90.70A       0.02V      54.71V     -43.36V
90.80A       0.01V      53.21V     -43.84V
90.90A       0.01V      56.70V     -39.34V
91.00A       0.00V      52.96V     -39.30V
91.10A       0.00V      45.96V     -36.99V
91.20A      -0.00V      43.06V     -37.33V
91.30A      -0.01V      45.07V     -34.89V
91.40A      -0.01V      46.42V     -34.32V
91.50A      -0.02V      46.26V     -31.11V
91.60A      -0.02V      40.41V     -30.33V
91.70A      -0.02V      45.75V     -30.73V
91.80A      -0.03V      37.83V     -28.56V
91.90A      -0.03V      38.53V     -27.94V
92.00A      -0.03V      35.58V     -27.30V
92.10A      -0.03V      32.83V     -24.77V
92.20A      -0.04V      32.03V     -25.16V
92.30A      -0.04V      31.64V     -26.94V
92.40A      -0.04V      29.46V     -22.06V
92.50A      -0.04V      28.36V     -23.21V
92.60A      -0.04V      28.82V     -20.61V
92.70A      -0.04V      23.73V     -19.74V
92.80A      -0.04V      23.35V     -18.78V
92.90A      -0.04V      20.60V     -17.29V
93.00A      -0.03V      20.64V     -15.43V
93.10A      -0.03V      17.94V     -14.18V
93.20A      -0.03V      17.83V     -12.26V
93.30A      -0.03V      15.23V     -11.87V
93.40A      -0.03V      12.68V     -10.72V
93.50A      -0.02V      11.04V      -8.99V
93.60A      -0.02V      10.17V      -7.69V
93.70A      -0.02V       7.95V      -6.90V
93.80A      -0.02V       7.26V      -6.01V
93.90A      -0.01V       5.33V      -4.41V
94.00A      -0.01V       4.06V      -3.13V
94.10A      -0.01V       2.30V      -1.77V
94.20A      -0.00V       0.72V      -0.55V
94.30A       0.00V      -0.78V       0.66V
94.40A       0.00V      -2.46V       1.84V
94.50A       0.01V      -4.17V       3.24V
94.60A       0.01V      -5.50V       4.20V
94.70A       0.01V      -6.97V       5.23V
94.80A       0.02V      -8.99V       6.32V
94.90A       0.02V     -10.34V       7.70V
95.00A       0.02V     -11.38V       8.74V
95.10A       0.02V     -12.55V       9.84V
95.20A       0.02V     -14.18V      11.60V
95.30A       0.03V     -15.23V      12.02V
95.40A       0.02V     -18.44V      12.80V
95.50A       0.03V     -19.61V      14.79V
95.60A       0.03V     -20.46V      17.12V
95.70A       0.03V     -23.43V      18.86V
95.80A       0.03V     -21.48V      14.30V
95.90A       0.03V     -26.61V      17.96V
96.00A       0.03V     -26.28V      21.50V
96.10A       0.03V     -28.69V      21.97V
96.20A       0.03V     -28.80V      23.40V
96.30A       0.02V     -29.89V      24.61V
96.40A       0.02V     -31.00V      22.96V
96.50A       0.02V     -34.00V      27.75V
96.60A       0.02V     -32.63V      25.47V
96.70A       0.02V     -39.94V      25.26V
96.80A       0.02V     -38.77V      28.86V
96.90A       0.01V     -41.32V      26.45V
97.00A       0.01V     -38.61V      32.56V
97.10A       0.01V     -42.31V      29.69V
97.20A       0.00V     -46.39V      34.70V
97.30A       0.00V     -43.50V      32.09V
97.40A      -0.00V     -44.16V      32.65V
97.50A      -0.00V     -46.11V      33.93V
97.60A      -0.00V     -45.19V      39.03V
97.70A      -0.01V     -56.09V      36.55V
97.80A      -0.01V     -50.21V      36.78V
97.90A      -0.01V     -49.16V      36.99V
98.00A      -0.01V     -56.42V      43.43V
98.10A      -0.02V     -54.89V      38.31V
98.20A      -0.02V     -56.72V      39.45V
98.30A      -0.02V     -57.26V      38.36V
98.40A      -0.02V     -59.25V      44.00V
98.50A      -0.02V     -61.97V      39.90V
98.60A      -0.02V     -62.34V      38.82V
98.70A      -0.02V     -66.91V      44.19V
98.80A      -0.02V     -64.70V      42.33V
98.90A      -0.02V     -67.02V      41.69V
99.00A      -0.02V     -69.25V      47.09V
99.10A      -0.02V     -69.11V      44.36V
99.20A      -0.02V     -66.21V      49.29V
99.30A      -0.02V     -69.89V      48.05V
99.40A      -0.02V     -68.35V      44.64V
99.50A      -0.02V     -74.78V      49.08V
99.60A      -0.02V     -78.19V      48.91V
99.70A      -0.01V     -72.41V      44.98V
99.80A      -0.01V     -74.71V      50.67V
99.90A      -0.01V     -80.22V      45.05V
